Current process id = 4372
create process: getpid(): 4372, getCurrentProcessId(): 4372
In Child: PID: 5624 getpid(): 4372
Current process id = 5624
fork: getpid(): 5624, getCurrentProcessId(): 5624
In Child: PID: 4364 getpid(): 5624
Current process id = 4364
In Child: PID: 3832 getpid(): 5624
Current process id = 3832
test2: getpid(): 4364, getCurrentProcessId(): 4364
test: getpid(): 3832, getCurrentProcessId(): 3832
Hello World!
Procedure,Image,Section Name,Section Size,Offset,Calls,Pid,Size
__set_app_type,msvcrt.dll,.text,593252,75d0,1,3832,32
??0exception@@QEAA@AEBQEBDH@Z,msvcrt.dll,.text,593252,7540,1,3832,144
_onexit,msvcrt.dll,.text,593252,7250,6,3832,752
exit,msvcrt.dll,.text,593252,71b0,1,3832,160
_rmtmp,msvcrt.dll,.text,593252,6fe0,1,3832,464
_flushall,msvcrt.dll,.text,593252,6c40,1,3832,928
_CrtSetDbgBlockType,msvcrt.dll,.text,593252,4f50,23,3832,64
__AdjustPointer,msvcrt.dll,.text,593252,4f30,1,3832,32
??1exception@@UEAA@XZ,msvcrt.dll,.text,593252,4ea0,2,3832,144
_initterm,msvcrt.dll,.text,593252,4e40,5,3832,96
calloc,msvcrt.dll,.text,593252,4990,12,3832,48
_flsbuf,msvcrt.dll,.text,593252,4760,2,3832,288
_errno,msvcrt.dll,.text,593252,43a0,1,3832,48
_write,msvcrt.dll,.text,593252,3bd0,2,3832,960
_isatty,msvcrt.dll,.text,593252,39f0,3,3832,96
unnamedImageEntryPoint,msvcrt.dll,.text,593252,2790,2,3832,880
_fileno,msvcrt.dll,.text,593252,2070,27,3832,80
_unlock,msvcrt.dll,.text,593252,1e90,56,3832,480
_lock,msvcrt.dll,.text,593252,1e50,56,3832,64
malloc,msvcrt.dll,.text,593252,1d20,23,3832,128
free,msvcrt.dll,.text,593252,1ce0,13,3832,32
memset,msvcrt.dll,.text,593252,1ab0,17,3832,208
memcpy,msvcrt.dll,.text,593252,16d0,19,3832,640
strncmp,msvcrt.dll,.text,593252,1410,4,3832,192
strlen,msvcrt.dll,.text,593252,11c0,18,3832,176
strcmp,msvcrt.dll,.text,593252,1110,68,3832,176
memcmp,msvcrt.dll,.text,593252,1040,1,3832,208
RtlSetHeapInformation,ntdll.dll,.text,1222784,dfea0,2,3832,288
memset,ntdll.dll,.text,1222784,94bc0,285,3832,172656
memmove,ntdll.dll,.text,1222784,94880,133,3832,832
ExpInterlockedPopEntrySListEnd,ntdll.dll,.text,1222784,92832,1,3832,142
ExpInterlockedPopEntrySListFault,ntdll.dll,.text,1222784,92829,1,3832,9
ExpInterlockedPopEntrySListResume,ntdll.dll,.text,1222784,92815,1,3832,20
RtlInterlockedPopEntrySList,ntdll.dll,.text,1222784,92810,1,3832,5
NtTestAlert,ntdll.dll,.text,1222784,92600,1,3832,16
ZwOpenProcessToken,ntdll.dll,.text,1222784,91d30,2,3832,16
NtCreateSemaphore,ntdll.dll,.text,1222784,91730,5,3832,16
NtCreateMutant,ntdll.dll,.text,1222784,916a0,14,3832,16
NtOpenDirectoryObject,ntdll.dll,.text,1222784,911c0,1,3832,16
ZwQuerySection,ntdll.dll,.text,1222784,91150,1,3832,16
NtProtectVirtualMemory,ntdll.dll,.text,1222784,91140,15,3832,16
NtApphelpCacheControl,ntdll.dll,.text,1222784,91100,2,3832,16
NtQueryVolumeInformationFile,ntdll.dll,.text,1222784,910d0,3,3832,16
NtCreateEvent,ntdll.dll,.text,1222784,910c0,1,3832,16
ZwContinue,ntdll.dll,.text,1222784,91070,1,3832,16
NtDuplicateObject,ntdll.dll,.text,1222784,91000,1,3832,16
